#NSGA2
popsize 40
maxGen 60
numVar 6
numObj 2
numCons 3
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 60
currentGen	1
evaluateCount	40
totalTime	91.968
firstFrontCount	5
frontCount	33
avgEvalTime	11.8865
#end
Var1	Var2	Var3	Var4	Var5	Var6	Obj1	Obj2	Cons1	Cons2	Cons3	
310605	64.5183	0.343869	0.951909	0.482504	38072.7	-0.442366	-1.0003	0	0	0	
245336	10	0.387208	0.279036	0.598524	36046.8	-0.189494	-1.0004	0	0	0	
113938	984.223	0.173825	0.301811	0.37241	17924.7	-0.589594	-0.94774	0	0	0	
245336	186.979	0.424428	0.279036	0.598524	28837	-0.43256	-1.00019	0	0	0	
181741	273.807	0.160584	0.63391	0.440085	31085.7	-0.61915	-0.933155	0	0	0	
524221	45.4051	0.182357	1.47134	0.473486	16108.8	-0.563541	-0.999983	0	0	0	
198728	72.9555	0.406488	0.951909	0.365816	40540.2	-0.376193	-1.00025	0	0	0	
181741	273.807	0.193328	0.63391	0.383087	33173.4	-0.564461	-0.956536	0	0	0	
222348	239.993	0.438246	0.279036	0.592957	28837	-0.441634	-1.00019	0	0	0	
504456	45.4051	0.262156	1.47134	0.383529	16519.5	-0.469281	-1.00004	0	0	0	
522591	28.6932	0.336119	0.906188	0.927905	17882.2	-0.509657	-1.00003	0	0	0	
588278	45.4051	0.182357	1.91552	0.320451	32380.8	-0.545037	-0.954775	0	0	0	
524221	45.4051	0.272156	1.5301	0.473486	16108.8	-0.49759	-0.999938	0	0	0	
100000	878.53	0.103051	0.1	0.37241	17924.7	-0.6054	-0.918737	0	0	0	
325614	72.9555	0.406488	0.951909	0.436433	40540.2	-0.40155	-1.00018	0	0	0	
588278	45.4051	0.182357	1.62413	0.320451	32380.8	-0.540129	-0.995506	0	0	0	
588278	45.4051	0.30294	1.28936	0.320451	32380.8	-0.419948	-0.999968	0	0	0	
379630	45.4051	0.293727	0.746011	0.342029	19081	-0.378759	-1.0001	0	0	0	
556912	31.58	0.675947	0.834865	0.915991	28305.8	-0.496981	-0.999231	0	0	0	
198728	72.9555	0.309556	1.01225	0.365816	40540.2	-0.433138	-0.999619	0	0	0	
113938	979.783	0.173825	0.301811	0.185262	17924.7	-0.532863	-0.96615	0	0	0	
397335	10	0.182357	1.53202	0.402869	12982.2	-0.343502	-1.00011	0	0	0	
185729	48.0354	0.593276	1.00399	0.479576	13613	-0.324094	-1.00014	0	0	0	
461577	57.4753	0.213658	1.53235	0.27027	20141.9	-0.492589	-0.999484	0	0	0	
113938	984.223	0.2169	0.287214	0.308756	17924.7	-0.525431	-0.989689	0	0	0	
299849	10	0.202159	0.306081	0.56102	27100	-0.1964	-1.00017	0	0	0	
749202	53.0137	0.703569	0.142774	0.425259	28683.7	-0.214496	-1.00013	0	0	0	
174270	72.9555	0.311124	0.967199	0.446553	39438.5	-0.456958	-0.998854	0	0	0	
198728	72.9555	0.309556	1.14619	0.288169	40540.2	-0.414889	-0.999079	0	0	0	
707799	16.6482	0.600127	0.834865	0.915991	10046	-0.371447	-0.999845	0	0	0	
835985	236.733	0.59932	0.142774	0.425259	30041.5	-0.306595	-1.0001	0	0	0	
707799	46.1206	0.600127	0.857518	0.596871	10046	-0.370512	-0.999925	0	0	0	
522591	29.3818	0.334241	0.906188	0.27027	17882.2	-0.334021	-1.00006	0	0	0	
835985	268.121	0.592469	0.142774	0.425259	22508.8	-0.312754	-1.00008	0	0	0	



#Generation 4 / 60
currentGen	4
evaluateCount	160
totalTime	501.123
firstFrontCount	8
frontCount	5
avgEvalTime	19.0499
#end
Var1	Var2	Var3	Var4	Var5	Var6	Obj1	Obj2	Cons1	Cons2	Cons3	
198728	72.9555	0.343869	0.951909	0.482504	40540.2	-0.44955	-1.00029	0	0	0	
499705	45.4051	0.182357	1.40315	0.398285	16416.4	-0.532936	-1.00009	0	0	0	
499705	45.4051	0.223171	1.40315	0.398285	16286.3	-0.498499	-1.00009	0	0	0	
198728	10	0.343869	1.05665	0.801624	40540.2	-0.332528	-1.00159	0	0	0	
310605	64.5183	0.343869	0.951909	0.482504	38072.7	-0.442366	-1.0003	0	0	0	
637551	45.4343	0.184998	0.937801	0.792301	10046	-0.598354	-1.00009	0	0	0	
375003	186.979	0.424428	0.279036	0.976324	28837	-0.711857	-0.999939	0	0	0	
198728	23.823	0.343869	0.796924	0.482504	37737	-0.342529	-1.00109	0	0	0	
524221	45.4051	0.182357	1.47134	0.473486	16723.4	-0.563899	-0.999989	0	0	0	
245336	186.979	0.424428	0.279036	0.598524	28837	-0.43256	-1.00019	0	0	0	
198728	72.9555	0.406488	0.951909	0.365816	40540.2	-0.376193	-1.00025	0	0	0	
222348	239.993	0.438246	0.279036	0.592957	28837	-0.441634	-1.00019	0	0	0	
504456	45.4051	0.262156	1.47134	0.383529	16519.5	-0.469281	-1.00004	0	0	0	
522591	28.6932	0.336119	0.906188	0.927905	17882.2	-0.509657	-1.00003	0	0	0	
207916	10	0.389891	0.696282	0.866569	38196.4	-0.277423	-1.00122	0	0	0	
540475	47.8854	0.336119	0.906188	0.927905	19924.8	-0.639865	-0.999687	0	0	0	
513422	45.4051	0.297896	1.43568	0.486281	16108.8	-0.479228	-1.00003	0	0	0	
707799	47.5334	0.47647	0.874292	0.915991	10046	-0.615713	-0.999844	0	0	0	
707799	48.0354	0.593276	0.937801	0.915991	10046	-0.621085	-0.999645	0	0	0	
245336	10	0.387208	0.279036	0.598524	36046.8	-0.189494	-1.0004	0	0	0	
524221	45.4051	0.182357	1.47134	0.473486	16108.8	-0.563541	-0.999983	0	0	0	
325614	72.9555	0.406488	0.951909	0.436433	40540.2	-0.40155	-1.00018	0	0	0	
528851	45.9071	0.299163	1.47134	0.473486	16108.8	-0.477391	-0.999992	0	0	0	
181741	273.807	0.160584	0.63391	0.440085	31085.7	-0.61915	-0.933155	0	0	0	
588278	45.4051	0.30294	1.28936	0.320451	32380.8	-0.419948	-0.999968	0	0	0	
379630	45.4051	0.293727	0.746011	0.342029	19081	-0.378759	-1.0001	0	0	0	
185729	48.0354	0.593276	1.00399	0.479576	13613	-0.324094	-1.00014	0	0	0	
299849	10	0.202159	0.306081	0.56102	27100	-0.1964	-1.00017	0	0	0	
292677	48.0354	0.598729	0.937801	0.910556	10046	-0.558681	-0.999824	0	0	0	
588278	45.4051	0.182357	1.89624	0.511421	33493.5	-0.611452	-0.933319	0	0	0	
198728	75.1255	0.408005	1.05665	0.801624	40540.2	-0.610917	-0.997236	0	0	0	
222348	239.993	0.438246	0.1	0.573691	28837	-0.351136	-1.00011	0	0	0	
556912	31.58	0.675947	0.834865	1	33114.7	-0.587237	-0.999485	0	0	0	
464604	53.4859	0.203072	1.3959	0.423756	20141.9	-0.537209	-0.999958	0	0	0	
553541	86.3979	0.130011	1.00681	0.27027	18537.2	-0.59126	-0.999457	0	0	0	
749202	53.0137	0.703569	0.142774	0.425259	28683.7	-0.214496	-1.00013	0	0	0	
100000	878.53	0.103051	0.1	0.37241	17924.7	-0.6054	-0.918737	0	0	0	
113938	984.223	0.173825	0.301811	0.37241	17924.7	-0.589594	-0.94774	0	0	0	
184052	281.143	0.392223	0.639406	0.686773	31180.8	-0.571928	-0.989301	0	0	0	
578132	53.0148	0.593276	0.937801	0.538191	10000	-0.356945	-0.99995	0	0	0	



#Generation 5 / 60
currentGen	5
evaluateCount	200
totalTime	610.911
firstFrontCount	5
frontCount	4
avgEvalTime	15.982
#end
Var1	Var2	Var3	Var4	Var5	Var6	Obj1	Obj2	Cons1	Cons2	Cons3	
637551	45.4343	0.184998	0.937801	0.792301	10046	-0.598354	-1.00009	0	0	0	
375003	186.979	0.424428	0.279036	0.976324	28837	-0.711857	-0.999939	0	0	0	
184076	40.2215	0.343869	0.951909	0.795237	40540.2	-0.531841	-1.00176	0	0	0	
659020	51.705	0.184998	1.11405	0.792301	10046	-0.668114	-0.999952	0	0	0	
264348	69.0468	0.11275	0.866585	0.316169	19081	-0.558929	-1.0003	0	0	0	
499705	45.4051	0.182357	1.40315	0.398285	16416.4	-0.532936	-1.00009	0	0	0	
198728	10	0.343869	1.05665	0.801624	40540.2	-0.332528	-1.00159	0	0	0	
198728	23.823	0.343869	0.796924	0.482504	37737	-0.342529	-1.00109	0	0	0	
524221	45.4051	0.182357	1.47134	0.473486	16723.4	-0.563899	-0.999989	0	0	0	
540475	47.8854	0.336119	0.906188	0.927905	19924.8	-0.639865	-0.999687	0	0	0	
707799	47.5334	0.47647	0.874292	0.915991	10046	-0.615713	-0.999844	0	0	0	
375003	145.496	0.424428	0.279036	0.976324	28837	-0.643542	-0.999231	0	0	0	
524221	45.4051	0.0691164	1.40542	0.315628	19338.9	-0.656339	-0.998295	0	0	0	
222529	42.734	0.343869	1.05665	0.565569	41399.3	-0.449883	-1.00093	0	0	0	
561198	106.586	0.336119	0.265536	0.944971	19924.8	-0.540965	-1.00004	0	0	0	
377110	45.4051	0.255997	1.36958	0.538398	16286.3	-0.511909	-1.00017	0	0	0	
570993	47.2835	0.272719	1.29418	0.761315	10046	-0.61433	-0.999948	0	0	0	
198728	72.9555	0.343869	0.951909	0.482504	40540.2	-0.44955	-1.00029	0	0	0	
499705	45.4051	0.223171	1.40315	0.398285	16286.3	-0.498499	-1.00009	0	0	0	
310605	64.5183	0.343869	0.951909	0.482504	38072.7	-0.442366	-1.0003	0	0	0	
