#NSGA2
popsize 40
maxGen 60
numVar 6
numObj 2
numCons 3
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 60
currentGen	1
evaluateCount	40
totalTime	7.60768
firstFrontCount	40
frontCount	1
avgEvalTime	1.28454
#end
Var1	Var2	Var3	Var4	Var5	Var6	Obj1	Obj2	Cons1	Cons2	Cons3	
306111	142.326	0.302922	0.31887	0.769519	50000	100000	100000	1	1	1	
424122	10	0.850034	0.703151	0.501346	42843.8	100000	100000	1	1	1	
418587	601.072	0.180607	1.19292	0.5405	28580.5	100000	100000	1	1	1	
773368	783.791	0.0617536	0.918879	0.253975	13552.8	100000	100000	1	1	1	
475234	166.806	0.850034	0.849675	0.501676	44424.3	100000	100000	1	1	1	
773368	750.831	0.0470924	1.06226	0.118704	13552.8	100000	100000	1	1	1	
508290	513.832	0.227826	1.04953	0.389553	43802	100000	100000	1	1	1	
497918	534.157	0.224532	0.658833	0.458983	45317.5	100000	100000	1	1	1	
508486	212.364	0.0813476	0.912175	0.211629	29478.9	100000	100000	1	1	1	
691527	220.987	0.44651	1.51586	0.66551	21975.8	100000	100000	1	1	1	



#Generation 4 / 60
currentGen	4
evaluateCount	160
totalTime	14.4874
firstFrontCount	40
frontCount	1
avgEvalTime	0.308611
#end
Var1	Var2	Var3	Var4	Var5	Var6	Obj1	Obj2	Cons1	Cons2	Cons3	
581073	371.533	0.529226	1.01422	1	22912.4	100000	100000	1	1	1	
358481	210.996	0.505784	2	0.549764	38021.1	100000	100000	1	1	1	
601560	104.988	0.598937	1.151	0.431981	31643.7	100000	100000	1	1	1	
805568	132.785	0.647998	0.889064	0.730379	43153.6	100000	100000	1	1	1	
795055	841.823	0.495376	0.679038	0.679827	45401.7	100000	100000	1	1	1	
356216	909.988	0.302664	1.2951	0.501032	38751.8	100000	100000	1	1	1	
491907	166.806	0.47312	1.86204	0.439777	39871.8	100000	100000	1	1	1	
691527	90.7615	0.44651	1.51586	0.66551	29801.3	100000	100000	1	1	1	
798355	814.435	0.495376	0.661924	0.679827	36844.4	100000	100000	1	1	1	
458622	786.172	0.833762	1.4013	0.734236	30344.6	100000	100000	1	1	1	
484368	212.364	0.0813476	0.912175	0.136356	29478.9	100000	100000	1	1	1	
419224	136.813	0.121202	0.546363	0.124297	29478.9	100000	100000	1	1	1	
501984	686.383	0.227826	1.07748	0.417679	43491.7	100000	100000	1	1	1	
629543	371.533	0.529226	0.994648	0.547164	22912.4	100000	100000	1	1	1	
633755	647.492	0.326842	1.19292	0.739867	43491.7	100000	100000	1	1	1	
712194	651.164	0.0617536	0.729938	0.253975	13552.8	100000	100000	1	1	1	
